player_id,division,team_name,first_name,last_name,height,year
1434_andre_wrightjr.,mens-d2,Anderson (SC),Andre,Wright Jr.,"5'8""",Jr
1120_michael_sarden,mens-d2,Cal Poly Humboldt,Michael,Sarden,"6'4""",Jr
1120_varun_madabhushi,mens-d2,Cal Poly Humboldt,Varun,Madabhushi,"6'5""",So
1053_demarreya_lewis-cooper,mens-d2,Cal Poly Pomona,Demarreya,Lewis-Cooper,"6'1""",Sr
2447_donovan_flamer,mens-d2,Elizabeth City St.,Donovan,Flamer,"6'9""",Fr
2447_sterling_vaughn,mens-d2,Elizabeth City St.,Sterling,Vaughn,"6'2""",So
2371_donovan_long,mens-d2,Felician,Donovan,Long,"6'6""",Sr
2067_casey_steadmon,mens-d2,Hawaii Pacific,Casey,Steadmon,"6'4""",Jr
1508_christian_moore,mens-d2,Indiana (PA),Christian,Moore,"6'1""",Sr
2174_deandrae_seeden,mens-d2,Lock Haven,Deandrae,Seeden,"6'11""",Jr
2252_charles_mcclennahan_jr.,mens-d2,Midwestern St.,Charles,"McClennahan, Jr.","6'8""",Sr
1427_cody_lechlider,mens-d2,Mo. Southern St.,Cody,Lechlider,"6'5""",Fr
809_makeer_makeer,mens-d2,Mo.-St. Louis,Makeer,Makeer,"6'6""",Jr
809_quenton_parker,mens-d2,Mo.-St. Louis,Quenton,Parker,"6'3""",So
2727_latavious_morris,mens-d2,N.M. Highlands,Latavious,Morris,"5'8""",Fr
2727_ramiah_adedigba,mens-d2,N.M. Highlands,Ramiah,Adedigba,"6'1""",Sr
1752_josh_linder,mens-d2,North Greenville,Josh,Linder,"6'8""",So
534_rj_chatman,mens-d2,Northwest Nazarene,RJ,Chatman,"5'9""",Jr
2634_edward_onyia,mens-d2,Saint Anselm,Edward,Onyia,"6'7""",Fr
1330_makai_coleman,mens-d2,Southern Conn. St.,Makai,Coleman,"6'0""",So
261792_james_hendersonjr.,mens-d2,Spring Hill,James,Henderson Jr.,"6'9""",Sr
1314_nathan_bunkosky,mens-d2,St. Cloud St.,Nathan,Bunkosky,"5'11""",So
1934_ky_panda-massey,mens-d2,St. Thomas Aquinas,Ky,Panda-Massey,"5'10""",Fr
1060_donjae_lindsey,mens-d2,Stanislaus St.,Donjae,Lindsey,"6'1""",Jr
2684_joshua_caine,mens-d2,Virginia Union,Joshua,Caine,"6'7""",So
1373_camden_cowgill,mens-d2,West Tex. A&M,Camden,Cowgill,"6'4""",Fr
1251_jayden_cox,mens-d2,Western N.M.,Jayden,Cox,"6'3""",Fr
143_abou_camara,mens-d2,Winston-Salem,Abou,Camara,"6'8""",Sr
143_tyre_boykin,mens-d2,Winston-Salem,Tyre,Boykin,"6'1""",Sr
