division,team_name,first_name,last_name,height,year
mens-d1,Central Conn. St.,Darin,Smith,"6'7""",So
mens-d2,Ark.-Fort Smith,Kanaan,Holder,"6'3""",Jr
mens-d2,Arkansas Tech,Donyae,May,"6'0""",Jr
mens-d2,Arkansas Tech,Sam,Bradford,"6'7""",Jr
mens-d2,Barry,Tarrance,Warren Jr,"6'2""",Jr
mens-d2,CSUSB,Max,Zylicz,"6'4""",So
mens-d2,Central Okla.,Chase,Sucharda,"6'3""",So
mens-d2,Central Wash.,Jordan,Clark,"6'2""",Jr
mens-d2,Charleston (WV),Rico,Carr-Cole,"5'8""",Jr
mens-d2,Charleston (WV),Trevor,Barrett,"6'3""",Jr
mens-d2,Chowan,Eric,Gordon Jr.,"5'10""",Sr
mens-d2,Concord,John,Rose III,"5'11""",So
mens-d2,D'Youville,Elisha,Warren,"6'3""",Jr
mens-d2,Davis & Elkins,Dontrell,Jenkins,"5'9""",Jr
mens-d2,Drury,Colin,Hardrick,"6'3""",So
mens-d2,East Stroudsburg,Ethan,Maynard,"6'2""",So
mens-d2,Emory & Henry,Jackson,Crawford,"6'0""",Jr
mens-d2,Emory & Henry,Korbin,Dixon,"6'5""",So
mens-d2,Ferris St.,Hussein,Elmaraghy,"6'7""",Jr
mens-d2,Ferris St.,Tyler,Hamilton,"5'11""",Sr
mens-d2,Florida Tech,Austin,White,"6'3""",So
mens-d2,Florida Tech,Ca'Darrius,Sowell,"6'1""",Jr
mens-d2,Fort Valley St.,Aidan,Lambert,"6'3""",Jr
mens-d2,Fort Valley St.,Meka,Nnaji,"6'8""",Jr
mens-d2,Frostburg St.,Aurek,Fenn,"6'10""",Fr
mens-d2,Glenville St.,Elijah,Redfern,"6'3""",So
mens-d2,King (TN),Petar,Mijatovic,"6'7""",Jr
mens-d2,Lees-McRae,Nigel,Okwakol,"6'6""",Jr
mens-d2,Lynn,Matthew,Puodziukaitis,"6'7""",So
mens-d2,Mo.-St. Louis,Taye,Moore,"6'0""",Fr
mens-d2,Northwest Nazarene,Easton,Reagan,"6'4""",Jr
mens-d2,Okla. Christian,Javonne,Nesbit,"6'5""",Jr
mens-d2,Southern N.H.,JoJo,Wallace,"6'3""",So
mens-d2,St. Thomas Aquinas,Cairo,Rivera,"6'3""",So
mens-d2,Staten Island,Nowah,Hargrow,"6'1""",Fr
mens-d2,Thomas More,Carson,Browne,"6'9""",Jr
mens-d2,Tuskegee,Khalil,Genwright,"6'4""",Jr
mens-d2,UIndy,Nate,Orr,"6'3""",Fr
mens-d2,UIndy,Tyler,Parrish,"6'3""",Fr
mens-d2,West Virginia St.,Camren,Wilkes,"6'1""",Jr
mens-d2,Western N.M.,Jeven,Beltran,"5'11""",So
