division,team_name,first_name,last_name,height,year
mens-d2,Azusa Pacific,Parker,Christensen,"6'5""",Jr
mens-d2,Biola,Joe,Ofori,"6'7""",Jr
mens-d2,Biola,Tyus,Parrish-Tillman,"6'8""",Sr
mens-d2,Bridgeport,Malikai,Delgado,"6'5""",Jr
mens-d2,CSU Pueblo,Jordan,Blair,"6'6""",So
mens-d2,Concordia-St. Paul,Ben,Kopetzki,"6'0""",Jr
mens-d2,Drury,Zach,Howell,"6'5""",Jr
mens-d2,East Central,Jaden,Miller,"6'1""",So
mens-d2,Lane,Elijah,Lewis,"6'1""",So
mens-d2,Menlo,Max,Sheridan,"6'0""",Jr
mens-d2,Missouri S&T,Cameron,Stovall,"6'5""",Jr
mens-d2,Newman,Syris,Williams,"6'2""",Jr
mens-d2,Okla. Christian,Elijah,Bailey,"5'11""",Sr
mens-d2,Pace,Paxton,Davidson,"6'3""",Jr
mens-d2,Post,Taquan,Williams,"6'0""",Jr
mens-d2,Regis (CO),Myles,Shields,"6'3""",So
mens-d2,Saginaw Valley,Marquese,Josephs,"6'1""",Jr
mens-d2,Seton Hill,Brandon,Coury,"6'2""",Sr
mens-d2,Tiffin,Caleb,Jewell,"6'1""",Fr
mens-d2,Tiffin,John,Bardelli,"6'0""",Fr
mens-d2,Tiffin,Marquel,Newsome,"5'10""",Jr
mens-d2,Wayne St. (MI),Chase,Kuiper,"6'6""",So
mens-d2,Wayne St. (MI),Jordan,Briggs,"6'0""",Jr
mens-d2,West Tex. A&M,Fontaine,Williams,"6'2""",Jr
mens-d2,Western Ore.,AB,Gilchrist,"6'1""",Jr
mens-d2,Western Ore.,Trevon,Chambers,"6'4""",Jr
mens-d2,Western Wash.,Trevor,White,"6'7""",So
mens-d2,Wheeling,Tee,Harris,"6'7""",Jr
