division,team_name,first_name,last_name,height,year
mens-d2,Ark.-Monticello,Ashton,Price,"6'4""",Jr
mens-d2,Bloomsburg,Courtney,Davis II,"6'2""",Jr
mens-d2,Bloomsburg,George,Sabatini,"6'6""",So
mens-d2,CSU Pueblo,Kohlman,Dutton,"6'3""",Fr
mens-d2,CSUSB,Kaylon,Mason,"6'7""",Jr
mens-d2,Cal St. San Marcos,Chanel,Mballa,"6'7""",Jr
mens-d2,Central Wash.,Bradley,Swillie,"6'5""",Jr
mens-d2,Claflin,Horaces,Jacques Jr.,"6'0""",Jr
mens-d2,Davenport,Curtis,Jackson,"6'0""",Jr
mens-d2,Davenport,Dylan,Smith,"6'8""",So
mens-d2,Davenport,Ken,Walker,"5'11""",Jr
mens-d2,Davis & Elkins,Noah,Adamczyk,"6'0""",So
mens-d2,Dist. Columbia,Oliver,Spence,"6'10""",Fr
mens-d2,Dominican (CA),Michael,Wilson,"6'2""",Jr
mens-d2,Eckerd,Miquel,Llompart,"6'4""",Jr
mens-d2,Eckerd,Tyler,Greene,"6'2""",Fr
mens-d2,Eckerd,Wyatt,Triestman,"6'6""",Jr
mens-d2,Emporia St.,Andrew,Pengel,"6'2""",Jr
mens-d2,Fort Hays St.,Dan,Mukuna,"6'8""",Jr
mens-d2,Fort Lewis,Stewart,Erhart,"6'2""",So
mens-d2,Jefferson,Jeremiah,Dorsey,"5'11""",Jr
mens-d2,Johnson C. Smith,Jessiah,Pierre Johnson,"6'3""",Fr
mens-d2,MSU Denver,Garrett,Falls,"6'6""",Jr
mens-d2,Mansfield,Sterling,Scott,"6'5""",Sr
mens-d2,Northwestern Okla.,Mikey,Hawkins,"6'0""",Sr
mens-d2,Okla. Christian,David,Oyona Ibandzo,"6'10""",Fr
mens-d2,Pittsburg St.,Tane,Prictor,"6'11""",Sr
mens-d2,Roberts Wesleyan,Hadi,Alshami,"6'9""",Fr
mens-d2,Roberts Wesleyan,Trey,Kleitz,"6'0""",Jr
mens-d2,San Fran. St.,Brandon,Lucas,"6'4""",Jr
mens-d2,Savannah St.,Kasai,Fontanez,"6'4""",Sr
mens-d2,Seton Hill,Dimitrios,Sklavenitis,"6'3""",Jr
mens-d2,Seton Hill,Edir,Ortiz,"6'9""",So
mens-d2,Shorter,Michael,Johnson,"6'8""",Sr
mens-d2,Sioux Falls,Brandon,Hrncir,"6'8""",So
mens-d2,Sioux Falls,James,Spencer III,"6'7""",Jr
mens-d2,Sioux Falls,Reed,Pfaltzgraff,"6'4""",Fr
mens-d2,Stanislaus St.,Malik,Johnson,"6'10""",Fr
mens-d2,Truman St.,Marquis,Carver-Smith,"6'6""",So
mens-d2,UIndy,Pierce,Thomas,"6'5""",Sr
mens-d2,Union (TN),Ryan,Lewis,"6'2""",Fr
mens-d2,Wayne St. (MI),Jotham,Nweke,"6'7""",Jr
mens-d2,West Tex. A&M,Brock,Mishak,"6'3""",Jr
mens-d2,West Va. Wesleyan,Isaiah,Baker,"6'3""",Jr
mens-d2,West Virginia St.,Blake,Goodman,"6'7""",Sr
mens-d2,West Virginia St.,Norris,Bourne Jr,"6'4""",Sr
mens-d2,Western Ore.,Parker,Bauman,"6'5""",Jr
mens-d2,Westminster (UT),Keiren,Brown,"6'3""",Jr
mens-d2,Wingate,Isaiah,Vick,"6'7""",Fr
