division,team_name,first_name,last_name,height,year
mens-d1,A&M-Corpus Christi,Jamal,Ambrose,6-10,Jr
mens-d1,A&M-Corpus Christi,Kayden,Crosby,6-7,Jr
mens-d1,A&M-Corpus Christi,Cenker,Evran,6-8,Sr
mens-d1,A&M-Corpus Christi,Mason,Gibson,6-0,Sr
mens-d1,A&M-Corpus Christi,Jaden,Haire,6-7,Jr
mens-d1,A&M-Corpus Christi,Cedric,Horton,6-5,Fr
mens-d1,A&M-Corpus Christi,DA,Houston,6-2,Sr
mens-d1,A&M-Corpus Christi,Daniel,Michelini-Jackson,6-5,Jr
mens-d1,A&M-Corpus Christi,Trenton,Pane,5-10,Fr
mens-d1,A&M-Corpus Christi,Kam,Parker,6-2,Sr
mens-d1,A&M-Corpus Christi,Devon Kobi,Pearson,6-8,Fr
mens-d1,A&M-Corpus Christi,Nicholas,Shogbonyo,6-1,Sr
mens-d1,A&M-Corpus Christi,Leo,Torbor,6-3,Sr
mens-d1,A&M-Corpus Christi,Bryson,Wheatfall,6-5,Fr
mens-d1,A&M-Corpus Christi,Sheldon,Williams,6-8,Sr
mens-d1,A&M-Corpus Christi,Franck,Yetna,6-7,Sr
mens-d1,Abilene Christian,Chilaydrien,Newton,6-3,So
mens-d1,Air Force,AJ,Patterson,6-3,So
mens-d1,Akron,Halil,Barre,6-10,Jr
mens-d1,Alabama,Taylor Bol,Bowen,6-10,Jr
mens-d1,Alabama,Jacob,Martin,,So
mens-d1,Alabama,Labaron,Philon,6-4,So
mens-d1,Alabama,Latrell,Wrightsell Jr.,6-3,Sr
mens-d1,Alabama A&M,Bilal,Abdur-Rahman,5-11,So
mens-d1,Alabama A&M,Angok,Anyang,6-9,Jr
mens-d1,Alabama A&M,Jalen,Carruth,6-7,So
mens-d1,Alabama A&M,Peyton,Daniels,,
mens-d1,Alabama A&M,Koron,Davis,6-7,Jr
mens-d1,Alabama A&M,Tajden,Davis,6-5,Jr
mens-d1,Alabama A&M,Kintavious,Dozier,6-1,Sr
mens-d1,Alabama A&M,P.J.,Eason,6-9,Sr
mens-d1,Alabama A&M,James,Flippin,6-10,Sr
mens-d1,Alabama A&M,James,Graham,6-8,Jr
mens-d1,Alabama A&M,Louis,Hutchinson,6-7,Jr
mens-d1,Alabama A&M,Gabe,Kincy,6-7,Jr
mens-d1,Alabama A&M,Samuel,Onu,6-11,Jr
mens-d1,Alabama A&M,Sami,Pissis,6-3,Sr
mens-d1,Alabama St.,Kevin,Alabi,6-7,Fr
mens-d1,Alabama St.,Asjon,Anderson,6-2,Sr
mens-d1,Alabama St.,Mario,Andrews,6-6,Sr
mens-d1,Alabama St.,Tyler,Byrd,6-3,Jr
mens-d1,Alabama St.,R'Chaun,King,6-6,Fr
mens-d1,Alabama St.,Tyler,Mack,6-5,Sr
mens-d1,Alabama St.,Jordon,Marshall,6-2,Sr
mens-d1,Alabama St.,Tyler,Mason,6-9,Jr
mens-d1,Alabama St.,Trey,Miller,6-2,Sr
mens-d1,Alabama St.,Cam,Palesse,6-5,Sr
mens-d1,Alabama St.,Micah,Simpson,6-2,Sr
mens-d1,Alabama St.,Jerquarius,Stanback,6-9,Fr
mens-d1,Alabama St.,Jasteven,Walker,6-10,Jr
mens-d1,Alabama St.,Demarien,Yates,6-7,Jr
mens-d1,Ark.-Pine Bluff,Jai’chaunn,Hayes,6-7,Fr
mens-d1,Arkansas,Elmir,Dzafic,7-0,Fr
mens-d1,Arkansas St.,Royal Blue,Smith,,Fr
mens-d1,Auburn,Abdullahi,Bashir,6-7,Jr
mens-d1,BYU,Mihailo,Boskovic,6-10,Sr
mens-d1,BYU,Aleksej,Kostić,6-4,Fr
mens-d1,Ball St.,Jai Anthoni,Bearden,6-7,Fr
mens-d1,Ball St.,Elmore,James,6-3,Sr
mens-d1,Baylor,Isaac,Williams,6-1,So
mens-d1,Bellarmine,Dominique,Murphy Jr,6-5,Fr
mens-d1,Binghamton,Wes,Peterson,6-6,Sr
mens-d1,Boise St.,RJ,Keene,6-7,Sr
mens-d1,Boston U.,Azmar,Abdullah,6-3,So
mens-d1,Boston U.,Kyrone,Alexander,6-5,Jr
mens-d1,Boston U.,Andrew,Bhesania,6-9,Fr
mens-d1,Boston U.,Peter,Carr,6-5,So
mens-d1,Boston U.,Malcolm,Chimezie,6-8,Sr
mens-d1,Boston U.,Ben,Defty,7-0,So
mens-d1,Boston U.,Chance,Gladden,6-4,Fr
mens-d1,Boston U.,Sam,Hughes,6-6,Fr
mens-d1,Boston U.,Michael,McNair,6-5,Jr
mens-d1,Boston U.,Quinn,Nielsen,6-11,Jr
mens-d1,Boston U.,Ethan,Okwuosa,6-3,Sr
mens-d1,Boston U.,Ben,Roy,6-0,Sr
mens-d1,Boston U.,Donte,Tisinger,6-3,Fr
mens-d1,Brown,Charlie,OSullivan,6-10,Fr
mens-d1,Bryant,Aaron,Davis,6-7,Jr
mens-d1,Bryant,Joseph,Green,6-3,Fr
mens-d1,Bryant,Ashley,"Sims, II",6-8,Fr
mens-d1,Bucknell,Quin,Berger,6-2,Sr
mens-d1,Bucknell,Ruot,Bijiek,6-9,Sr
mens-d1,Bucknell,Grgur,Brcic,6-10,Jr
mens-d1,Bucknell,Pat,Curtin,6-3,Fr
mens-d1,Bucknell,Amon,Dörries,6-11,Fr
mens-d1,Bucknell,Josh,Fulton,6-6,Sr
mens-d1,Bucknell,Matt,Lange,6-2,So
mens-d1,Bucknell,Brandon,McCreesh,6-4,Jr
mens-d1,Bucknell,Jacob,Meachem,5-8,Fr
mens-d1,Bucknell,Patrick,O'Brien,6-8,Jr
mens-d1,Bucknell,Aleksander,Pachucki,6-5,So
mens-d1,Bucknell,Achile,Spadone,6-4,Sr
mens-d1,Bucknell,Kellen,Welch,6-7,So
mens-d1,Bucknell,Jayden,Williams,5-10,So
mens-d1,Buffalo,Derrick,Talton Jr,,
mens-d1,Butler,Jamie,"Kaiser, Jr.",,
mens-d1,Butler,"Azavier ""Stink""",Robinson,,
mens-d1,Cal Poly,Aaron,"Price, Jr.",,
mens-d1,Cal St. Fullerton,Kiwane,Garris Jr,,
mens-d1,Cal St. Fullerton,Josh,Ward,,
mens-d1,Cal St. Fullerton,Benjamin,Winker,,
mens-d1,California,Dai Dai,Ames,,
mens-d1,California,Semetri (TT),Carr,,
mens-d1,California Baptist,Nathaniel,Garcia,,
mens-d1,California Baptist,Jordan,Mueller,,
mens-d1,Campbell,Broc,Bidwell,,
mens-d1,Campbell,Dominykas,Butka,,
mens-d1,Campbell,Dovydas,Butka,,
mens-d1,Campbell,Tasos,Cook,,
mens-d1,Campbell,Chris,Fields Jr.,,
mens-d1,Campbell,Cam,Gregory,,
mens-d1,Campbell,Mutombo,Kalambay,,
mens-d1,Campbell,Daniel,Marcellinus,,
mens-d1,Campbell,Muneer,Newton,,
mens-d1,Campbell,D.J.,Smith,,
mens-d1,Campbell,Jeremiah,Williamson-Johnson,,
mens-d1,Canisius,Andreo,Ash,,
mens-d1,Canisius,Trevor,Augustine,,
mens-d1,Canisius,Anthony,Benard,,
mens-d1,Canisius,Zach,Christian,,
mens-d1,Canisius,Nicco,DiGiulio,,
mens-d1,Canisius,Javante,Edwards,,
mens-d1,Canisius,Mike,Evbagharu,,
mens-d1,Canisius,King,Ijeoma,,
mens-d1,Canisius,Max,Jusianiec,,
mens-d1,Canisius,Christopher,Kumu,,
mens-d1,Canisius,Bryan,Ndjonga,,
mens-d1,Canisius,Marcus,Niblack,,
mens-d1,Canisius,Brendan,Oliver,,
mens-d1,Canisius,Kahlil,Singleton,,
mens-d1,Canisius,Myles,Wilmoth,,
mens-d1,Canisius,Evan,van der Plas,,
mens-d1,Central Ark.,Harrison,Beauchamp,,
mens-d1,Central Ark.,John,Shulman,,
mens-d1,Central Conn. St.,Daniel Etiosa,James,,
mens-d1,Central Conn. St.,Darin,"Smith, Jr.",,
mens-d1,Central Mich.,Phat Phat,Brooks,,
mens-d1,Charleston So.,A.J.,Gladieux,,
mens-d1,Charlotte,Raúl,Villar,,
mens-d1,Chattanooga,Teddy,"Washington, Jr.",,
mens-d1,Chicago St.,Lionel,Larvadain,,
mens-d1,Cincinnati,Day Day,Thomas,,
mens-d1,Clemson,Efrem,Johnson,,
mens-d1,Cleveland St.,Tre,Beard,,
mens-d1,Cleveland St.,Lucas,Burton,,
mens-d1,Cleveland St.,Chevalier,Emery,,
mens-d1,Cleveland St.,David,Giddens,,
mens-d1,Cleveland St.,Josiah,Harris,,
mens-d1,Cleveland St.,Manny,Hill,,
mens-d1,Cleveland St.,Kamari,Jones,,
mens-d1,Cleveland St.,Jaidon,Lipscomb,,
mens-d1,Cleveland St.,Dayan,Nessah,,
mens-d1,Cleveland St.,Holden,Pierre-Louis,,
mens-d1,Cleveland St.,Preist,Ryan,,
mens-d1,Cleveland St.,Ivan,Spirov,,
mens-d1,Cleveland St.,Kevo,St.Hilaire,,
mens-d1,Cleveland St.,Foster,Wonders,,
mens-d1,Col. of Charleston,Chris,Davis Jr,,
mens-d1,Colgate,Josh,Ahayere,,
mens-d1,Colgate,Andrew,Alekseyenko,,
mens-d1,Colgate,Cameron,Brennan,,
mens-d1,Colgate,Ethan,Brown,,
mens-d1,Colgate,Kyle,Carlesimo,,
mens-d1,Colgate,Jalen,Cox,,
mens-d1,Colgate,Brady,Cummins,,
mens-d1,Colgate,Jonathan,Niv,,
mens-d1,Colgate,Eyilayomi,Odetoyinbo,,
mens-d1,Colgate,Charles,Pugh,,
mens-d1,Colgate,Ben,Tweedy,,
mens-d1,Colgate,Cooper,Wright,,
mens-d1,Colgate,Sam,Wright,,
mens-d1,Colorado,"Fawaz ""Tacko""",Ifaola,,
mens-d1,Coppin St.,Favour,Aire,,
mens-d1,Coppin St.,Torrin,Andrews,,
mens-d1,Coppin St.,Josiah,Brown,,
mens-d1,Coppin St.,Demariontay,Hall,,
mens-d1,Coppin St.,Khali,Horton,,
mens-d1,Coppin St.,Tyler,Koenig,,
mens-d1,Coppin St.,Nelson,Lamizana,,
mens-d1,Coppin St.,Daveyon,Lydner,,
mens-d1,Coppin St.,Chris,Morgan,,
