division,team_name,first_name,last_name,height,year
mens-d2,Cameron,C.J.,Yao,"6'6""",Jr
mens-d2,Clayton St.,Dez'Mond,Perkins,"6'8""",Sr
mens-d2,Coker,Zundra,Jackson,"6'1""",Fr
mens-d2,Davis & Elkins,Ladislav,Novak,"6'7""",Jr
mens-d2,Elizabeth City St.,C.J.,McCord,"6'2""",Jr
mens-d2,Erskine,Ruben,Salazar,"6'6""",Fr
mens-d2,Frostburg St.,D.J.,Daniel,"6'6""",Fr
mens-d2,Ga. Southwestern,J.R.,Jacobs,"5'11""",Jr
mens-d2,Holy Family,R.J.,Delahaye,"6'1""",Sr
mens-d2,Jamestown,Jackson,Beauchamp,"6'7""",Fr
mens-d2,Jamestown,Luke,Wherley,"6'5""",Fr
mens-d2,Jamestown,Thomas,Diew,"6'8""",Jr
mens-d2,Jamestown,Turo,Moni,"6'9""",Fr
mens-d2,Jamestown,Vlad,Karasev,"6'8""",Jr
mens-d2,Johnson C. Smith,Marc,Raye,"5'10""",Jr
mens-d2,Ky. Wesleyan,J.J.,Faulkner,"6'0""",Jr
mens-d2,Lincoln (MO),Amar,Kadic,"6'9""",Jr
mens-d2,Mars Hill,Juan,Pedro Rodriguez,"6'7""",Jr
mens-d2,Mary,Relja,Nagulic,"6'7""",So
mens-d2,Middle Georgia,Krishen,Atwal,"6'6""",So
mens-d2,Mo. Southern St.,Tyrone,Wright,"6'9""",Sr
mens-d2,Mount Olive,Raul,Perez,"6'5""",So
mens-d2,Northeastern St.,A.J.,Reed,"6'1""",Jr
mens-d2,Roosevelt,Broden,Steiner,"6'5""",Fr
mens-d2,Sul Ross St.,Chianti,Clay,"5'11""",Sr
mens-d2,Tiffin,T.J.,Pangonas,"6'6""",Jr
mens-d2,Tusculum,T.J.,Printup,"6'6""",Fr
mens-d2,USCB,Nolan,Paladugu,"6'3""",Jr
mens-d2,USCB,Qurahn,Anderson,"6'5""",Jr
