division,team_name,first_name,last_name,height,year,,,,
mens-d1,Boston U.,Donte,Tisinger Jr.,6-3,Fr,,,,
mens-d1,Butler,Jamie,"Kaiser, Jr.",6-6,So,,,,
mens-d1,Butler,"Azavier ""Stink""",Robinson,6-2,Fr,,,,
mens-d1,Cal Poly,Aaron,"Price, Jr.",6-8,Sr,,,,
mens-d1,Campbell,Chris,Fields Jr.,6-7,Jr,,,,
mens-d1,Campbell,Jeremiah,Johnson,6-4,So,,,,
mens-d1,Central Ark.,John,Shulman,6-2,Fr,,,,
mens-d1,Central Conn. St.,Darin,"Smith, Jr.",6-7,So,,,,
mens-d1,Charleston So.,A.J.,Gladieux,6-2,Fr,,,,
mens-d1,Chattanooga,Teddy,"Washington, Jr.",6-2,Sr,,,,
mens-d1,Colorado,"Fawaz ""Tacko""",Ifaola,7-1,Fr,,,,
mens-d1,Dartmouth,Patrick,Tivnan Jr.,6-8,Jr,,,,
mens-d1,Davidson,"JaQualon ""JQ""",Roberts,6-8,Jr,,,,
mens-d1,Drake,Wilguens Jr.,Exacte,6-6,Jr,,,,
mens-d1,Eastern Ky.,Juan,"Cranford, Jr.",6-4,So,,,,
mens-d1,Evansville,Marlon,"Barnes, Jr.",6-6,So,,,,
mens-d1,Florida A&M,Anquan,Boldin Jr.,6-4,Jr,,,,
mens-d1,Florida A&M,Lenard,Taylor Jr.,6-2,Sr,,,,
mens-d1,Ga. Southern,Sean,Van Dorn Jr.,6-6,Fr,,,,
mens-d1,Jackson St.,Jayme,Mitchell Jr.,6-5,Jr,,,,
mens-d1,Kent St.,Derrick,Lee Jr.,6-5,,,,,
mens-d1,LMU (CA),Myron,Amey Jr.,6-2,Sr,,,,
mens-d1,LMU (CA),Rodney,Brown Jr.,6-6,Jr,,,,
mens-d1,La Salle,Jerome,"Brewer, Jr.",6-9,Jr,,,,
mens-d1,Lamar University,Rob,"Lee, Jr.",6-2,Jr,,,,
mens-d1,Liberty,Brett,Decker Jr.,6-3,So,,,,
mens-d1,Liberty,Ryan,Jones Jr.,6-8,Fr,,,,
mens-d1,Liberty,JC,Shirer Jr.,6-3,Jr,,,,
mens-d1,Little Rock,Tracy,Steele Jr.,6-3,Sr,,,,
mens-d1,Long Beach St.,Shay,Johnson Jr.,6-10,Sr,,,,
mens-d1,Longwood,Redd,Thompson Jr.,6-1,So,,,,
mens-d1,Louisiana Tech,Scooter,Williams Jr.,6-4,Sr,,,,
mens-d1,Loyola Maryland,Troy,Cicero Jr.,6-2,Jr,,,,
mens-d1,Maine,Amare,Allen,6-7,So,,,,
mens-d1,Maine,Mekhi,Gray,6-4,Sr,,,,
mens-d1,Massachusetts,Dwayne,"Wimbley, Jr.",6-6,Fr,,,,
mens-d1,Monmouth,Cornelius,Robinson Jr.,6-7,Jr,,,,
mens-d1,NC State,Paul,"McNeil, Jr.",6-5,So,,,,
mens-d1,NIU,Carlos,Coronado Jr.,6-3,Fr,,,,
mens-d1,NJIT,Jordan,Rogers,6-6,So,,,,
mens-d1,New Orleans,Jihad,el Khatib,,,,,,
mens-d1,Northwestern St.,Quentin,Bolton Jr.,6-6,Sr,,,,
mens-d1,Old Dominion,Robert,Davis Jr.,6-6,Jr,,,,
mens-d1,Oral Roberts,Baron,Smith Jr.,6-9,So,,,,
mens-d1,Portland St.,Keyon,Kensie Jr.,6-8,Jr,,,,
mens-d1,Portland St.,Terri,Miller Jr.,6-8,Sr,,,,
mens-d1,Providence,Corey,"Floyd, Jr.",6-4,Sr,,,,
mens-d1,Quinnipiac,Ronell,"Giles, Jr.",6-3,Sr,,,,
mens-d1,Radford,Dennis,"Parker, Jr.",6-6,Jr,,,,
mens-d1,Robert Morris,Ryan,Prather Jr.,6-5,Jr,,,,
mens-d1,SFA,Eltramon,Smith Jr.,6-7,So,,,,
mens-d1,SMU,Jermaine,"O'Neal, Jr.",6-5,Fr,,,,
mens-d1,Saint Peter's,Eric,Morgan Jr.,6-4,Sr,,,,
mens-d1,Sam Houston,Damon,Nicholas Jr.,6-4,Sr,,,,
mens-d1,South Carolina St.,Owen,"Bronston, Jr.",6-6,Jr,,,,
mens-d1,South Dakota,Trent,Hudgens Jr.,6-0,Sr,,,,
mens-d1,South Dakota St.,Andrell,Burton Jr.,6-7,Fr,,,,
mens-d1,Tarleton St.,Damion,Porter Jr.,6-2,Fr,,,,
mens-d1,Toledo,Will,"James, Jr.",6-4,Fr,,,,
mens-d1,Towson,Jack,Doumbia Jr.,6-6,Sr,,,,
mens-d1,UC Davis,Carl,Daughtery Jr.,6-3,Sr,,,,
mens-d1,UC Davis,Cyril,Franklin Jr.,6-5,So,,,,
mens-d1,UC Irvine,Jovan,Jester Jr.,6-4,Fr,,,,
mens-d1,UNC Greensboro,Donald,"Whitehead, Jr.",5-10,Sr,,,,
mens-d1,VCU,Terrence,Hill Jr.,6-3,So,,,,
mens-d1,VMI,Mario,"Tatum, Jr.",6-3,Fr,,,,
mens-d1,William & Mary,Ryan,"Jackson, Jr.",6-6,So,,,,
mens-d1,Yale,Courtney,Wallace Jr.,6-2,Fr,,,,
