division,team_name,first_name,last_name,height,year
mens-d2,AUM,Elhadji,Thiam,"6'8""",Jr
mens-d2,Alas. Fairbanks,Joel,Amaro,"6'7""",Jr
mens-d2,Albany St. (GA),Kendale,Johnson,"6'5""",Sr
mens-d2,American Int'l,Aguibou,Balde,"6'6""",Jr
mens-d2,American Int'l,Chase,Nelson,"6'5""",Jr
mens-d2,American Int'l,Coleman,Hopson,"6'4""",So
mens-d2,Angelo St.,Kailon,Nicholls,"6'0""",Jr
mens-d2,Angelo St.,Zyon,Little,"6'6""",Jr
mens-d2,Ark.-Fort Smith,Antwan,Robinson,"6'4""",Jr
mens-d2,Arkansas Tech,Brian,Kitenge,"6'9""",Jr
mens-d2,Augusta,Tobias,Prall,"6'2""",Jr
mens-d2,Augustana (SD),Tameron,Ferguson,"6'2""",So
mens-d2,Bemidji St.,Isaak,Eenhuis,"6'8""",Fr
mens-d2,Bemidji St.,Luke,Diem,"6'7""",Fr
mens-d2,Bloomsburg,Kodi,Johnson,"6'6""",Fr
mens-d2,Bridgeport,Isaiah,Sullivan,"6'7""",Sr
mens-d2,Cal St. Monterey Bay,Michael,Mora,"6'6""",So
mens-d2,Cal State LA,Martin,Zarzuela,"6'0""",Jr
mens-d2,Cameron,Arzhonte,Dallas,"5'10""",Jr
mens-d2,Cameron,C.J.,Yao,"6'6""",Jr
mens-d2,Cameron,Jaden,Juarez,"6'0""",Jr
mens-d2,Cameron,Michael,Jones,"6'8""",Jr
mens-d2,Cameron,Thomas,Tangle,"6'6""",Jr
mens-d2,Cedarville,Anthony,Ruffolo,"6'0""",Jr
mens-d2,Central St. (OH),JaMonte,Williams,"6'2""",Jr
mens-d2,Central St. (OH),Micah,Bays,"6'2""",So
mens-d2,Chadron St.,Jadon,Cool,"6'3""",Jr
mens-d2,Claflin,Alex,Atkinson,"6'8""",So
mens-d2,Claflin,Braylon,Jackson,"6'5""",Jr
mens-d2,Claflin,Xavier,Tubbs-Matthews,"6'1""",Jr
mens-d2,Clarion,Gavin,Cote,"6'5""",Jr
mens-d2,Clayton St.,Andre,Young,"6'0""",Jr
mens-d2,Clayton St.,Dez'Mond,Perkins,"6'8""",Sr
mens-d2,Clayton St.,Eddie,Page,"6'9""",Jr
mens-d2,Clayton St.,Jamil,Aleem,"6'5""",Fr
mens-d2,Clayton St.,Jeremiah,Barze,"6'6""",Sr
mens-d2,Coker,Cyncier,Harrison,"5'11""",Jr
mens-d2,Coker,Xavier,Moultrie,"6'1""",Jr
mens-d2,Coker,Zundrá,Jackson,"6'1""",Fr
mens-d2,Colo. Christian,Bobby,McWard,"6'4""",Jr
mens-d2,Colo. Christian,Lincoln,Cantrall,"6'9""",So
mens-d2,Colo. Christian,Porter,Bazil,"6'7""",Jr
mens-d2,Columbus St.,Demetrius,Gibson,"6'5""",So
mens-d2,Converse,Will,Fowler,"6'2""",Fr
mens-d2,Daemen,Ivan,Yhomby,"6'0""",Fr
mens-d2,Davis & Elkins,Ladislav,Novák,"6'7""",Jr
mens-d2,Davis & Elkins,Ron,Haas,"5'10""",Jr
mens-d2,Delta St.,Jackson,Twombly,"6'7""",Jr
mens-d2,Dist. Columbia,Kevon,Corley,"6'6""",Jr
mens-d2,Dist. Columbia,ReJuan,Gray,"6'7""",Jr
mens-d2,Edinboro,Rocco,Spadafora,"6'1""",Jr
mens-d2,Elizabeth City St.,C.J.,McCord,"6'5""",Jr
mens-d2,Erskine,Jed,Moor,"6'3""",Fr
mens-d2,Erskine,Rubén,Salazar,"6'6""",Fr
mens-d2,Franklin Pierce,Caelan,Zeilenga,"6'0""",Fr
mens-d2,Franklin Pierce,Fabrice,Salvant,"6'2""",So
mens-d2,Franklin Pierce,Jalen,Duff,"5'11""",Jr
mens-d2,Frostburg St.,Mike,Montano,"6'8""",Jr
mens-d2,Holy Family,Elijah,Hernandez,"6'6""",Jr
mens-d2,Holy Family,R.J.,Delahaye,"6'1""",Sr
mens-d2,Jamestown,Jackson,Beauchamp,"6'7""",Fr
mens-d2,Jamestown,Luke,Wherley,"6'5""",Fr
mens-d2,Jamestown,Thomas,Diew,"6'8""",Jr
mens-d2,Jamestown,Vlad,Karasev,"6'8""",Jr
mens-d2,Jefferson,Jaden,Colzie,"6'0""",So
mens-d2,Johnson C. Smith,Jeremee,Bryant,"6'4""",Sr
mens-d2,Johnson C. Smith,Marc,"Raye, Jr.","5'10""",Jr
mens-d2,Johnson C. Smith,Trey,Pettigrew,"6'4""",Jr
mens-d2,Kentucky St.,Deavion,Scales,"6'1""",Jr
mens-d2,LeMoyne-Owen,Kyle,Houston,"6'2""",Jr
mens-d2,Lees-McRae,Brent,Randleman,"6'3""",Jr
mens-d2,Lees-McRae,Caden,Kreger,"6'7""",Fr
mens-d2,Lees-McRae,Cedric,Patterson,"6'1""",Jr
mens-d2,Lees-McRae,Chase,McDuffie,"6'5""",Jr
mens-d2,Lees-McRae,Isajah,Deburgo,"6'3""",Jr
mens-d2,Lees-McRae,Jack,Carter,"6'7""",Jr
mens-d2,Lees-McRae,Kenny,Vera,"6'3""",Fr
mens-d2,Lees-McRae,Kwynsie,Pittsnogle,"6'10""",Fr
mens-d2,Lewis,Reid,Loewen,"6'10""",Jr
mens-d2,Lincoln (MO),Amar,Kadić,"6'9""",Jr
mens-d2,Lincoln (PA),Ginuwine,Tropnas,"6'10""",Jr
mens-d2,Lincoln (PA),Kesean,Shillingford,"7'0""",So
mens-d2,MSU Denver,Landon,Braun,"6'6""",Fr
mens-d2,MSU Denver,Logan,Threatt,"6'3""",Jr
mens-d2,Mars Hill,Christian,Foy,"6'6""",So
mens-d2,Mars Hill,Juan,Pedro Rodriguez,"6'7""",Jr
mens-d2,Mary,Alex,Dvorak,"6'1""",So
mens-d2,Mary,Amare,Jackson,"6'4""",Jr
mens-d2,Mary,Kelton,Coleman,"6'2""",Jr
