division	team_name	first_name	last_name	height	year
mens-d1	Alabama	Jacob	Martin	6-11	So
mens-d1	Alabama A&M	Peyton	Daniels	6-3	Jr
mens-d1	Arkansas St.	Royal Blue	Smith	6-4	Fr
mens-d1	Boston U.	Donte	Tisinger Jr	6-3	Fr
mens-d1	Buffalo	Derrick	Talton Jr	5-10	Sr
mens-d1	Butler	Jamie	Kaiser, Jr	6-6	So
mens-d1	Butler	Azavier	Robinson	6-2	Fr
mens-d1	Cal Poly	Aaron	Price, Jr	6-8	Sr
mens-d1	Cal St. Fullerton	Kiwane	Garris Jr	6-5	Fr
mens-d1	Cal St. Fullerton	Josh	Ward	6-1	Sr
mens-d1	Cal St. Fullerton	Benjamin	Winker	6-10	Fr
mens-d1	California	Dai Dai	Ames	6-2	Jr
mens-d1	California	Semetri (TT)	Carr	6-0	Fr
mens-d1	California Baptist	Nathaniel	Garcia	7-0	Fr
mens-d1	California Baptist	Jordan	Mueller	6-0	Fr
mens-d1	Campbell	Broc	Bidwell	6-0	Sr
mens-d1	Campbell	Dominykas	Butka	6-6	Fr
mens-d1	Campbell	Dovydas	Butka	6-9	So
mens-d1	Campbell	Tasos	Cook	6-2	Sr
mens-d1	Campbell	Chris	Fields Jr	6-7	Jr
mens-d1	Campbell	Cam	Gregory	6-5	Sr
mens-d1	Campbell	Mutombo	Kalambay	6-6	Sr
mens-d1	Campbell	Daniel	Marcellinus	6-11	Fr
mens-d1	Campbell	Muneer	Newton	6-5	Sr
mens-d1	Campbell	D.J.	Smith	5-11	Sr
mens-d1	Campbell	Jeremiah	Williamson-Johnson	6-4	So
mens-d1	Canisius	Andreo	Ash	6-8	Fr
mens-d1	Canisius	Trevor	Augustine	6-2	So
mens-d1	Canisius	Anthony	Benard	6-0	Jr
mens-d1	Canisius	Zach	Christian	6-1	Fr
mens-d1	Canisius	Nicco	DiGiulio	5-11	So
mens-d1	Canisius	Javante	Edwards	6-1	Fr
mens-d1	Canisius	Mike	Evbagharu	6-4	Jr
mens-d1	Canisius	King	Ijeoma	6-8	Sr
mens-d1	Canisius	Max	Jusianiec	6-7	Sr
mens-d1	Canisius	Christopher	Kumu	6-4	Fr
mens-d1	Canisius	Bryan	Ndjonga	6-9	Jr
mens-d1	Canisius	Marcus	Niblack	6-2	Sr
