division,team_name,first_name,last_name,height,year
mens-d2,Angelo St.,Quadir,Pettaway,"6'2""",Jr
mens-d2,Ark.-Fort Smith,Rex,Krout,"6'4""",So
mens-d2,Barry,Marko,Sarenac,"6'10""",Jr
mens-d2,Barry,Noah,Jaid,"6'8""",So
mens-d2,CSU Pueblo,Dylan,Sanders,"6'4""",Jr
mens-d2,CUI,Nicholas,Corbett,"6'7""",So
mens-d2,CUI,Roman,Rose,"6'2""",Fr
mens-d2,Cal St. Monterey Bay,Jaden,Tengan,"5'11""",Jr
mens-d2,Cameron,Kelen,Smith,"6'3""",Fr
mens-d2,Carson-Newman,Caiden,Botts,"6'6""",Fr
mens-d2,Cedarville,Sam,Johnson,"6'7""",So
mens-d2,Davenport,Alden,Ritt,"6'8""",Jr
mens-d2,Edinboro,DaJuan,Young,"6'3""",So
mens-d2,Elizabeth City St.,Leslie,Minter,"6'6""",So
mens-d2,Embry-Riddle (FL),Jared,Berry,"5'10""",Jr
mens-d2,Findlay,Luke,Denbow,"6'1""",Sr
mens-d2,Florida Tech,Ben,Csernak,"6'8""",So
mens-d2,Franklin Pierce,Anthony,Parker,"6'2""",So
mens-d2,Franklin Pierce,Enmanuel,Ferreras,"6'5""",Jr
mens-d2,Georgia College,Khalil,Green,"6'2""",So
mens-d2,Glenville St.,Prince,Mosengo,"6'8""",Jr
mens-d2,Lees-McRae,Gavin,Bullock,"6'2""",So
mens-d2,Lewis,Arius,Alijosius,"6'4""",So
mens-d2,Lincoln (PA),Bonard,Johnson,"6'2""",Jr
mens-d2,Lynn,John,Roland,"6'7""",So
mens-d2,MSU Moorhead,Nic,Smith,"6'0""",So
mens-d2,Miles,Blake,Wilson,"6'5""",Jr
mens-d2,Minot St.,Isaiah,Alexander,"6'7""",Jr
mens-d2,Mo.-St. Louis,Demetris,Phillips,"6'6""",Jr
mens-d2,Okla. Christian,Miles,Gibson,"6'5""",Jr
mens-d2,Post,Anthony,Chinn,"6'5""",So
mens-d2,Purdue Northwest,Zach,Hayslett,"6'3""",Jr
mens-d2,Regis (CO),Luke,Soden,"6'4""",Fr
mens-d2,Saginaw Valley,Xavier,Thomas,"6'5""",So
mens-d2,San Fran. St.,Diego,Martinez,"6'7""",So
mens-d2,Seton Hill,Noah,Wright,"5'10""",Jr
mens-d2,Seton Hill,Rashaad,Williams,"6'1""",Fr
mens-d2,Shepherd,Marcus,Banks,"6'2""",Jr
mens-d2,Southern Wesleyan,Jaquay,Randolph,"6'10""",Jr
mens-d2,Southern Wesleyan,Nathanael,Lewis,"6'7""",Jr
mens-d2,Southwest Baptist,Brandon,Moore,"6'3""",So
mens-d2,Southwest Baptist,Zac,Reedus,"6'5""",Jr
mens-d2,Southwest Minn. St.,Reece,Kircher,"6'0""",Fr
mens-d2,Stanislaus St.,Malachi,Johnson,"6'10""",Fr
mens-d2,Tex. A&M-Kingsville,Marc,Eyman,"6'4""",Jr
mens-d2,UCCS,Xavier,Martinez,"6'0""",Jr
mens-d2,West Va. Wesleyan,Jerell,Baptiste,"5'10""",So
mens-d2,West Va. Wesleyan,Lethaniel,Foster Jr.,"6'4""",So
mens-d2,West Virginia St.,Hassan,Belkhaddar,"6'9""",Jr
mens-d2,West Virginia St.,Jaylen,Subject,"6'5""",Jr
mens-d2,Wilmington (DE),Elson,Berhanu,"7'1""",Jr
mens-d2,Wis.-Parkside,Raphael,Nagau Trouart,"6'5""",Jr
